rib,stiffness,ks_MN_m3_assumed,x_m,w_mm,rotation_rad,soil_pressure_kPa,M_Gk_kNm,V_Gk_kN
R7,gross_instantaneous,5.0,1.1618360655737705,4.946809822830614,-6.0372644975622204e-05,24.734049114153073,0.3319057492357498,-0.26798411264706196
R7,gross_instantaneous,5.0,1.174327868852459,4.946055176314505,-6.044988835057042e-05,24.73027588157252,0.32847252261083576,-0.28169534059123363
R7,gross_instantaneous,5.0,1.1868196721311475,4.945299570032182,-6.052630833247766e-05,24.726497850160907,0.32486791494087275,-0.29542307611239466
R7,gross_instantaneous,5.0,1.199311475409836,4.94454301426931,-6.060190492134392e-05,24.72271507134655,0.3210917198858785,-0.3091673400792381
R7,gross_instantaneous,5.0,1.199311475409836,4.94454301426931,-6.060190492136353e-05,24.72271507134655,0.3210917198858785,-0.3091673400792381
R7,gross_instantaneous,5.0,1.2118032786885244,4.943785519645025,-6.067659792823109e-05,24.718927598225125,0.31714373084659203,-0.3229281531337856
R7,gross_instantaneous,5.0,1.2242950819672132,4.943027098117507,-6.075030675136184e-05,24.715135490587535,0.31302374096740576,-0.33670553567129063
R7,gross_instantaneous,5.0,1.2367868852459016,4.942267761980985,-6.082303139075578e-05,24.711338809904927,0.3087315431395987,-0.3504995078200858
R7,gross_instantaneous,5.0,1.2492786885245901,4.94150752352969,-6.089477184641291e-05,24.707537617648452,0.3042669300046896,-0.36431008943974363
R7,gross_instantaneous,5.0,1.2492786885245901,4.9415075235296895,-6.0894771846440274e-05,24.70753761764845,0.3042669300046896,-0.36431008943974363
R7,gross_instantaneous,5.0,1.2617704918032786,4.94074639539293,-6.0965447542533947e-05,24.703731976964647,0.2996296939577982,-0.37813730011924784
R7,gross_instantaneous,5.0,1.274262295081967,4.939984391545521,-6.103497748839054e-05,24.699921957727607,0.29481962715112686,-0.39198115915679993
R7,gross_instantaneous,5.0,1.2867540983606556,4.93922152629995,-6.110336168401007e-05,24.696107631499753,0.2898365214977442,-0.40584168553956873
R7,gross_instantaneous,5.0,1.299245901639344,4.938457813968704,-6.117060012939251e-05,24.69228906984352,0.28468016867548906,-0.4197188979418427
R7,gross_instantaneous,5.0,1.299245901639344,4.938457813968703,-6.117060012943413e-05,24.692289069843515,0.28468016867548906,-0.4197188979418427
R7,gross_instantaneous,5.0,1.3117377049180325,4.937693269200963,-6.123661185996997e-05,24.68846634600482,0.2793503601308837,-0.43361281472319246
R7,gross_instantaneous,5.0,1.324229508196721,4.936927907997913,-6.130131549432453e-05,24.684639539989565,0.2738468870831662,-0.4475234539081792
R7,gross_instantaneous,5.0,1.3367213114754097,4.93616174670003,-6.136471103249782e-05,24.680808733500154,0.26816954052862807,-0.46145083316600755
R7,gross_instantaneous,5.0,1.3492131147540982,4.935394801647797,-6.142679847448983e-05,24.676974008238982,0.26231811124507165,-0.47539496980866824
R7,gross_instantaneous,5.0,1.3492131147540982,4.935394801647797,-6.142679847448701e-05,24.676974008238982,0.26231811124507165,-0.47539496980866824
R7,gross_instantaneous,5.0,1.3617049180327867,4.9346270895200135,-6.148749646508995e-05,24.673135447600067,0.256292389796277,-0.489355880789092
R7,gross_instantaneous,5.0,1.3741967213114754,4.933858628353999,-6.15467232306711e-05,24.669293141769995,0.2500921665365891,-0.5033335826807603
R7,gross_instantaneous,5.0,1.386688524590164,4.933089436528007,-6.160447877123045e-05,24.665447182640037,0.24371723161581096,-0.51732809165726
R7,gross_instantaneous,5.0,1.3991803278688524,4.9323195324202915,-6.166076308676803e-05,24.661597662101457,0.23716737498421767,-0.5313394234904166
R7,gross_instantaneous,5.0,1.3991803278688524,4.932319532420292,-6.166076308675258e-05,24.66159766210146,0.23716737498421767,-0.5313394234904166
R7,gross_instantaneous,5.0,1.4116721311475409,4.93154893474906,-6.171549442986547e-05,24.6577446737453,0.23044238639757977,-0.5453675935484401
R7,gross_instantaneous,5.0,1.4241639344262293,4.930777663597577,-6.176859063316213e-05,24.653888317987885,0.22354205542230746,-0.5594126167754369
R7,gross_instantaneous,5.0,1.436655737704918,4.930005739391691,-6.182005169664252e-05,24.650028696958458,0.21646617144090224,-0.5734745076708655
R7,gross_instantaneous,5.0,1.4491475409836065,4.929233182557247,-6.186987762030668e-05,24.646165912786234,0.20921452365753027,-0.5875532802876624
R7,gross_instantaneous,5.0,1.4491475409836065,4.929233182557246,-6.186987762031565e-05,24.64616591278623,0.20921452365753027,-0.5875532802876624
R7,gross_instantaneous,5.0,1.461639344262295,4.928460013861678,-6.191798626305733e-05,24.64230006930839,0.20178690110360467,-0.6016489482303771
R7,gross_instantaneous,5.0,1.4741311475409837,4.927686255444055,-6.196429506235334e-05,24.638431277220274,0.19418309264348965,-0.6157615246345863
R7,gross_instantaneous,5.0,1.4866229508196722,4.926911929787665,-6.200880401820365e-05,24.634559648938325,0.18640288698051344,-0.6298910221462515
R7,gross_instantaneous,5.0,1.4991147540983607,4.926137059375801,-6.20515131306083e-05,24.630685296879005,0.17844607266310317,-0.6440374529198339
R7,gross_instantaneous,5.0,1.4991147540983607,4.926137059375802,-6.205151313056994e-05,24.630685296879008,0.17844607266310317,-0.6440374529198339
R7,gross_instantaneous,5.0,1.5116065573770492,4.925361667034987,-6.20923398634367e-05,24.626808335174935,0.17031243809092947,-0.6582008286164226
R7,gross_instantaneous,5.0,1.5240983606557377,4.924585776969967,-6.213120125794742e-05,24.622928884849834,0.1620017715211727,-0.6723811603830486
R7,gross_instantaneous,5.0,1.5365901639344262,4.9238094137313615,-6.21680973141021e-05,24.619047068656805,0.15351386107509993,-0.6865784588319431
R7,gross_instantaneous,5.0,1.5490819672131146,4.9230326018697905,-6.220302803190074e-05,24.615163009348954,0.1448484947447644,-0.7007927340386447
R7,gross_instantaneous,5.0,1.5490819672131146,4.9230326018697905,-6.220302803189273e-05,24.615163009348954,0.1448484947447644,-0.7007927340386447
R7,gross_instantaneous,5.0,1.5615737704918031,4.922255366280758,-6.223591047902307e-05,24.611276831403792,0.13600546039971464,-0.7150239955401169
R7,gross_instantaneous,5.0,1.5740655737704916,4.921477733244597,-6.226666129946907e-05,24.607388666222985,0.12698454579382587,-0.7292722523139639
R7,gross_instantaneous,5.0,1.5865573770491803,4.920699729389165,-6.229528049323072e-05,24.603498646945827,0.11778553857244359,-0.7435375127575894
R7,gross_instantaneous,5.0,1.5990491803278688,4.919921381342325,-6.232176806030802e-05,24.599606906711628,0.10840822627965035,-0.7578197846862946
R7,gross_instantaneous,5.0,1.5990491803278688,4.919921381342324,-6.232176806036793e-05,24.599606906711625,0.10840822627965035,-0.7578197846862946
R7,gross_instantaneous,5.0,1.6115409836065573,4.919142716078475,-6.234604067124662e-05,24.595713580392374,0.09885239636554202,-0.7721190753313867
R7,gross_instantaneous,5.0,1.6240327868852458,4.918363761963462,-6.23680145719309e-05,24.591818809817312,0.08911783619362708,-0.7864353913192954
R7,gross_instantaneous,5.0,1.6365245901639343,4.917584547712323,-6.238768976242076e-05,24.587922738561616,0.0792043330485396,-0.8007687386506317
R7,gross_instantaneous,5.0,1.6490163934426227,4.916805102040093,-6.24050662427162e-05,24.584025510200465,0.069111674143876,-0.8151191226982774
R7,gross_instantaneous,5.0,1.6490163934426227,4.916805102040093,-6.240506624271496e-05,24.584025510200465,0.069111674143876,-0.8151191226982774
R7,gross_instantaneous,5.0,1.6615081967213112,4.91602545401,-6.242006028538518e-05,24.58012727005,0.05883964663004109,-0.8294865482054838
R7,gross_instantaneous,5.0,1.674,4.915245634083354,-6.2432587737906e-05,24.576228170416773,0.04838803760221829,-0.8438710192648897
R7,gross_instantaneous,5.0,1.6864918032786884,4.914465673072318,-6.244264860027745e-05,24.572328365361585,0.03775663410865445,-0.8582725392974792
R7,gross_instantaneous,5.0,1.698983606557377,4.913685601789045,-6.245024287249948e-05,24.568428008945226,0.02694522315906922,-0.8726911110506625
R7,gross_instantaneous,5.0,1.698983606557377,4.913685601789045,-6.245024287246143e-05,24.56842800894523,0.02694522315906922,-0.8726911110506625
R7,gross_instantaneous,5.0,1.7114754098360654,4.9129054513955515,-6.245528642856623e-05,24.564527256977758,0.01595359173307398,-0.8871267365963666
R7,gross_instantaneous,5.0,1.7239672131147539,4.912125254458567,-6.24576947172888e-05,24.560626272292833,0.004781526788715136,-0.9015794173099518
R7,gross_instantaneous,5.0,1.7291371811376697,4.911802349396206,-6.245792041135038e-05,24.55901174698103,0.00010491627205811566,-0.9075659215336419
R7,gross_instantaneous,5.0,1.7364590163934426,4.9113450438973345,-6.245746773862915e-05,24.556725219486673,-0.006571184728666135,-0.9160491538490713
R7,gross_instantaneous,5.0,1.748950819672131,4.910564852631095,-6.245460549258727e-05,24.552824263155475,-0.018104755877449148,-0.9305359461517418
R7,gross_instantaneous,5.0,1.748950819672131,4.910564852631094,-6.245460549267836e-05,24.55282426315547,-0.018104755877449148,-0.9305359461517418
R7,gross_instantaneous,5.0,1.7614426229508195,4.909784713930601,-6.244902345456796e-05,24.548923569653002,-0.02981939971073938,-0.9450397934344256
R7,gross_instantaneous,5.0,1.7739344262295083,4.909004662477975,-6.244063667422422e-05,24.545023312389876,-0.041715329267249156,-0.959560694170847
R7,gross_instantaneous,5.0,1.7864262295081967,4.908224733309503,-6.242944515164715e-05,24.541123666547513,-0.0537927575618604,-0.9740986460707525
R7,gross_instantaneous,5.0,1.7989180327868852,4.907444961461473,-6.241544888683675e-05,24.537224807307368,-0.06605189757606181,-0.988653646077972
R7,gross_instantaneous,5.0,1.7989180327868852,4.907444961461473,-6.241544888683919e-05,24.537224807307368,-0.06605189757606181,-0.988653646077972
R7,gross_instantaneous,5.0,1.8114098360655737,4.906665382323348,-6.239856295625e-05,24.533326911616744,-0.07849296224837632,-1.0032256903684917
R7,gross_instantaneous,5.0,1.8239016393442622,4.905886032702594,-6.23787020112238e-05,24.52943016351297,-0.09111616446466315,-1.0178147743291714
R7,gross_instantaneous,5.0,1.836393442622951,4.905106949762505,-6.235586605176059e-05,24.525534748812525,-0.10392171704810028,-1.0324208925364038
R7,gross_instantaneous,5.0,1.8488852459016394,4.9043281706663775,-6.233005507786038e-05,24.521640853331885,-0.11690983274904077,-1.0470440387541675
R7,gross_instantaneous,5.0,1.8488852459016394,4.9043281706663775,-6.233005507783958e-05,24.521640853331885,-0.11690983274904077,-1.0470440387541675
R7,gross_instantaneous,5.0,1.8613770491803279,4.903549732932339,-6.23011837674157e-05,24.517748664661696,-0.13008072423485945,-1.0616842059320908
R7,gross_instantaneous,5.0,1.8738688524590166,4.902771675503158,-6.226916637375067e-05,24.51385837751579,-0.14343460407967343,-1.0763413861840683
